Hugo_Symbol,Hugo_Symbol,0
CBFB,GATA3,0.1849288919392402
GATA3,CBFB,0.1849288919392402
SMARCB1,KLRG1,0.16695642887621223
KLRG1,SMARCB1,0.16695642887621223
PRKG1,NDFIP1,0.16217383227279117
NDFIP1,PRKG1,0.16217383227279117
SMARCB1,PRPS2,0.15587187629685428
PRPS2,SMARCB1,0.15587187629685428
PIK3CA,MAP3K1,0.14651068013327018
MAP3K1,PIK3CA,0.14651068013327018
APC,PPP2R2A,0.14430243584567573
PPP2R2A,APC,0.14430243584567573
NF2,DTWD2,0.14296299198196824
DTWD2,NF2,0.14296299198196824
STMN2,AFF2,0.1350011914275579
AFF2,STMN2,0.1350011914275579
RASGEF1B,SMARCB1,0.13215584423271262
SMARCB1,RASGEF1B,0.13215584423271262
SETD2,SMARCB1,0.1304886980367752
SMARCB1,SETD2,0.1304886980367752
PRKG1,PRPS2,0.12586102744012118
PRPS2,PRKG1,0.12586102744012118
CLK3,BRAF,0.1250587045546661
BRAF,CLK3,0.1250587045546661
PPP2R2A,STMN2,0.12326296546642852
STMN2,PPP2R2A,0.12326296546642852
NRAS,CDKN2A,0.12326296546642826
CDKN2A,NRAS,0.12326296546642826
HRAS,MEN1,0.12225397925617877
MEN1,HRAS,0.12225397925617877
AHNAK2,MUC16,0.1220129524877783
MUC16,AHNAK2,0.1220129524877783
NR2F1,CHEK2,0.12070911610283928
CHEK2,NR2F1,0.12070911610283928
PRKACG,NRAS,0.12029790254138537
NRAS,PRKACG,0.12029790254138537
NT5E,NRAS,0.12029790254138524
NRAS,NT5E,0.12029790254138524
STMN2,NT5E,0.12029790254138523
NT5E,STMN2,0.12029790254138523
TAF4B,AHNAK,0.11829976601681254
AHNAK,TAF4B,0.11829976601681254
SMARCB1,CTNNA3,0.11393299027502697
CTNNA3,SMARCB1,0.11393299027502697
AGMO,MTAP,0.11327882728216056
MTAP,AGMO,0.11327882728216056
NF2,CCND3,0.11214840588028556
CCND3,NF2,0.11214840588028556
RPGR,THADA,0.11056875706613352
THADA,RPGR,0.11056875706613352
PRKG1,NT5E,0.10928544833718895
NT5E,PRKG1,0.10928544833718895
LDLRAP1,NR3C1,0.10774424077310395
NR3C1,LDLRAP1,0.10774424077310395
FOXO1,GPR32,0.10611383764150199
GPR32,FOXO1,0.10611383764150199
DNAH5,SMARCC2,0.10588839670217498
SMARCC2,DNAH5,0.10588839670217498
MBL2,SIAH1,0.1056864340847166
SIAH1,MBL2,0.1056864340847166
SIAH1,AGTR2,0.10568643408471641
AGTR2,SIAH1,0.10568643408471641
RASGEF1B,PRKG1,0.10532921099145841
PRKG1,RASGEF1B,0.10532921099145841
UTRN,RB1,0.10425190034992907
RB1,UTRN,0.10425190034992907
PRKG1,STMN2,0.10397782171213436
STMN2,PRKG1,0.10397782171213436
NR3C1,ROS1,0.103877010546496
ROS1,NR3C1,0.103877010546496
PIK3CA,KMT2C,0.10336327468199716
KMT2C,PIK3CA,0.10336327468199716
CDH1,PIK3CA,0.10315857321022791
PIK3CA,CDH1,0.10315857321022791
CASP8,FOXO1,0.10314731823111692
FOXO1,CASP8,0.10314731823111692
RASGEF1B,PRPS2,0.10305381061208563
PRPS2,RASGEF1B,0.10305381061208563
EP300,HDAC9,0.10303580357173735
HDAC9,EP300,0.10303580357173735
USP9X,SMARCC2,0.10302347129180929
SMARCC2,USP9X,0.10302347129180929
DNAH11,THADA,0.10241841681443724
THADA,DNAH11,0.10241841681443724
GATA3,AKT1,0.1022943370465083
AKT1,GATA3,0.1022943370465083
CTCF,SMAD2,0.1022553877524553
SMAD2,CTCF,0.1022553877524553
FRMD3,PRKCZ,0.10224488945279418
PRKCZ,FRMD3,0.10224488945279418
NDFIP1,HIST1H2BC,0.1018997268371357
HIST1H2BC,NDFIP1,0.1018997268371357
CTNNA1,USP9X,0.10136529820875519
USP9X,CTNNA1,0.10136529820875519
SMARCD1,LARGE,0.10134853900453457
LARGE,SMARCD1,0.10134853900453457
HDAC9,MAP3K13,0.10121818684070143
MAP3K13,HDAC9,0.10121818684070143
ZFP36L1,CLK3,0.10114105286141895
CLK3,ZFP36L1,0.10114105286141895
HERC2,AHNAK2,0.10096649510711057
AHNAK2,HERC2,0.10096649510711057
CCND3,CLRN2,0.10064319667639923
CLRN2,CCND3,0.10064319667639923
AHNAK,MUC16,0.10026014436717047
MUC16,AHNAK,0.10026014436717047
APC,BRCA2,0.09989359624718097
BRCA2,APC,0.09989359624718097
STAB2,ARID5B,0.09980976506468836
ARID5B,STAB2,0.09980976506468836
NF2,RB1,0.09980396703369943
RB1,NF2,0.09980396703369943
ATR,BCAS3,0.0995946463161801
BCAS3,ATR,0.0995946463161801
PRKCQ,KLRG1,0.0990928872776231
KLRG1,PRKCQ,0.0990928872776231
ASXL2,FLT3,0.09819508284761172
FLT3,ASXL2,0.09819508284761172
AHNAK2,SYNE1,0.09812492128621896
SYNE1,AHNAK2,0.09812492128621896
EGFR,NF2,0.09791339817136191
NF2,EGFR,0.09791339817136191
STAB2,FANCD2,0.09770539373353751
FANCD2,STAB2,0.09770539373353751
AKT1,CTCF,0.09731041402376425
CTCF,AKT1,0.09731041402376425
CASP8,FBXW7,0.09712000502535421
FBXW7,CASP8,0.09712000502535421
DCAF4L2,NF2,0.09550518692932075
NF2,DCAF4L2,0.09550518692932075
MTAP,FOXP1,0.0954886356724248
FOXP1,MTAP,0.0954886356724248
PRKG1,APC,0.09485849151197022
APC,PRKG1,0.09485849151197022
FBXW7,OR6A2,0.09482733839683359
OR6A2,FBXW7,0.09482733839683359
SETD2,CDKN2A,0.09475787372906973
CDKN2A,SETD2,0.09475787372906973
AKAP9,AHNAK2,0.09458671236732469
AHNAK2,AKAP9,0.09458671236732469
PRKCE,SBNO1,0.09427455946147018
SBNO1,PRKCE,0.09427455946147018
SMAD4,BCAS3,0.09395716471188167
BCAS3,SMAD4,0.09395716471188167
KLRG1,CTNNA3,0.09391153202195734
CTNNA3,KLRG1,0.09391153202195734
CDKN2A,SMARCB1,0.09377973271125242
SMARCB1,CDKN2A,0.09377973271125242
HRAS,CCND3,0.0936997855859084
CCND3,HRAS,0.0936997855859084
AGTR2,PTPN22,0.09348684983547496
PTPN22,AGTR2,0.09348684983547496
SGCD,BRIP1,0.09298780916847349
BRIP1,SGCD,0.09298780916847349
FBXW7,RUNX1,0.09294744177163303
RUNX1,FBXW7,0.09294744177163303
STAB2,NCOA3,0.09232671723755762
NCOA3,STAB2,0.09232671723755762
SIAH1,NR3C1,0.09230612276903172
NR3C1,SIAH1,0.09230612276903172
